1.893856799999999794e+02,1.077882299999999987e+02,4.847766000000000020e+01,2.000000000000000000e+00,1.522000000000000000e+03
1.780792199999999639e+02,6.836148000000000025e+01,5.611913999999998737e+01,4.000000000000000000e+00,1.760000000000000000e+02
1.838908500000000004e+02,3.216675000000000040e+01,5.528522999999999854e+01,1.000000000000000000e+01,1.133000000000000000e+03
6.507269999999999754e+01,3.240006000000000341e+01,4.711079999999999757e+01,8.000000000000000000e+00,7.300000000000000000e+01
1.794873299999999858e+02,8.759288999999999703e+01,4.611815999999999605e+01,4.000000000000000000e+00,1.709000000000000000e+03
2.570607599999999593e+02,2.517867000000000033e+01,3.957359999999999189e+01,1.200000000000000000e+01,1.787000000000000000e+03
7.952933999999999060e+01,1.961486999999999981e+01,1.117182000000000031e+01,8.000000000000000000e+00,1.207000000000000000e+03
2.530433400000000006e+02,8.376225000000000875e+01,2.499057000000000173e+01,1.000000000000000000e+00,1.240000000000000000e+02
2.288186999999999784e+02,6.351542999999999495e+01,4.649138999999999555e+01,2.000000000000000000e+00,5.320000000000000000e+02
2.446296600000000012e+02,6.194462999999999653e+01,2.598782999999999888e+01,1.000000000000000000e+00,7.000000000000000000e+00
2.211392699999999820e+02,6.752162999999998760e+01,5.524199999999999022e+01,2.000000000000000000e+00,1.557000000000000000e+03
1.905578399999999704e+02,9.219144000000000005e+01,5.493477000000000743e+01,2.000000000000000000e+00,1.516000000000000000e+03
7.836476999999999293e+01,3.717548999999999637e+01,1.081278000000000006e+01,8.000000000000000000e+00,1.259000000000000000e+03
1.574604899999999930e+02,7.744868999999999915e+01,5.609504999999999342e+01,4.000000000000000000e+00,1.122000000000000000e+03
2.726040899999999851e+02,7.368470999999999549e+01,5.410052999999999912e+01,0.000000000000000000e+00,1.400000000000000000e+01
1.986510899999999822e+02,7.841162999999998817e+01,4.624323000000000405e+01,2.000000000000000000e+00,6.210000000000000000e+02
1.494665699999999902e+02,8.117405999999999722e+01,4.580631000000000341e+01,4.000000000000000000e+00,1.131000000000000000e+03
1.166319000000000017e+02,2.527073999999999643e+01,5.518655999999999295e+01,9.000000000000000000e+00,2.040000000000000000e+02
6.451599000000000217e+01,8.733153000000000077e+01,2.184963000000000122e+01,6.000000000000000000e+00,1.817000000000000000e+03
1.461078300000000070e+02,4.800245999999999924e+01,5.619768000000000541e+01,1.000000000000000000e+01,6.690000000000000000e+02
1.564559699999999793e+02,5.413089000000000084e+01,5.648576999999998804e+01,1.000000000000000000e+01,5.610000000000000000e+02
4.720880999999999261e+01,7.827368999999998778e+01,5.458265999999998996e+01,7.000000000000000000e+00,1.550000000000000000e+02
